tenure,Contract,MonthlyCharges,PaymentMethod,InternetService,OnlineSecurity,TechSupport,Churn_Probability,Risk_Segment,Action_Plan
60,Two year,101.15,Credit card (automatic),Fiber optic,No,No,0.12,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
51,Two year,24.95,Mailed check,No,No internet service,No internet service,0.03,🟢 Low Risk,✅ No action needed
28,Two year,20.3,Credit card (automatic),No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
43,Two year,60.0,Electronic check,DSL,No,No,0.14,🟢 Low Risk,🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
42,Two year,20.25,Electronic check,No,No internet service,No internet service,0.0,🟢 Low Risk,💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
3,Month-to-month,78.5,Electronic check,Fiber optic,No,No,0.89,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
1,Month-to-month,44.75,Mailed check,DSL,No,No,0.76,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 🔴 URGENT: Flag for immediate customer success team outreach
3,Month-to-month,19.85,Mailed check,No,No internet service,No internet service,0.8,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔴 URGENT: Flag for immediate customer success team outreach
63,Two year,98.0,Credit card (automatic),Fiber optic,Yes,No,0.04,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session
3,Month-to-month,79.9,Electronic check,Fiber optic,No,No,0.99,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
68,Month-to-month,107.7,Electronic check,Fiber optic,Yes,Yes,0.07,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
30,Month-to-month,99.7,Electronic check,Fiber optic,No,No,0.95,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
60,Two year,104.7,Electronic check,Fiber optic,No,No,0.2,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
15,Month-to-month,58.6,Credit card (automatic),DSL,No,Yes,0.76,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🔴 URGENT: Flag for immediate customer success team outreach
45,Month-to-month,93.9,Bank transfer (automatic),Fiber optic,No,No,0.77,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 🔴 URGENT: Flag for immediate customer success team outreach
70,Two year,86.45,Credit card (automatic),DSL,Yes,Yes,0.0,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal
10,Month-to-month,98.5,Electronic check,Fiber optic,No,No,1.0,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
4,Month-to-month,19.4,Mailed check,No,No internet service,No internet service,0.11,🟢 Low Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan
1,Month-to-month,50.45,Mailed check,DSL,No,No,0.9890000000000001,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 🔴 URGENT: Flag for immediate customer success team outreach
68,Two year,24.95,Credit card (automatic),No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
22,Month-to-month,75.0,Bank transfer (automatic),Fiber optic,Yes,No,0.08,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session
38,Month-to-month,94.65,Electronic check,Fiber optic,No,No,0.85,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
1,Month-to-month,100.25,Credit card (automatic),Fiber optic,No,No,0.97,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 🔴 URGENT: Flag for immediate customer success team outreach
18,Month-to-month,78.2,Electronic check,Fiber optic,No,Yes,0.2,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
29,Month-to-month,94.2,Electronic check,Fiber optic,No,Yes,0.15,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
16,Month-to-month,88.45,Electronic check,Fiber optic,No,No,0.99,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
1,Month-to-month,69.85,Electronic check,Fiber optic,No,No,0.9985714285714287,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
12,Month-to-month,81.7,Bank transfer (automatic),Fiber optic,Yes,No,0.91,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session | 🔴 URGENT: Flag for immediate customer success team outreach
31,One year,50.05,Electronic check,DSL,No,No,0.11,🟢 Low Risk,🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
4,Month-to-month,79.9,Electronic check,Fiber optic,No,No,1.0,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
48,One year,69.55,Mailed check,DSL,No,Yes,0.04,🟢 Low Risk,🔒 Upsell: Offer free 1-month OnlineSecurity trial
15,Month-to-month,25.4,Credit card (automatic),No,No internet service,No internet service,0.99,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🔴 URGENT: Flag for immediate customer success team outreach
50,One year,90.1,Credit card (automatic),Fiber optic,Yes,Yes,0.03,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal
7,Month-to-month,44.65,Bank transfer (automatic),DSL,No,No,0.15,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
41,Month-to-month,83.75,Bank transfer (automatic),Fiber optic,Yes,No,0.95,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session | 🔴 URGENT: Flag for immediate customer success team outreach
68,Two year,80.35,Credit card (automatic),Fiber optic,Yes,No,0.04,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session
26,Month-to-month,98.1,Bank transfer (automatic),Fiber optic,No,No,0.19,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
57,Two year,53.35,Credit card (automatic),DSL,No,Yes,0.02,🟢 Low Risk,🔒 Upsell: Offer free 1-month OnlineSecurity trial
3,Month-to-month,19.55,Electronic check,No,No internet service,No internet service,0.1,🟢 Low Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
1,Month-to-month,20.9,Mailed check,No,No internet service,No internet service,0.9975,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔴 URGENT: Flag for immediate customer success team outreach
19,One year,48.95,Bank transfer (automatic),DSL,Yes,No,0.05,🟢 Low Risk,🛠️ Support: Proactively reach out with free TechSupport session
3,Month-to-month,54.2,Electronic check,DSL,No,No,0.14,🟢 Low Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
59,Two year,24.45,Electronic check,No,No internet service,No internet service,0.05,🟢 Low Risk,💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
1,Month-to-month,69.4,Mailed check,Fiber optic,No,No,1.0,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 🔴 URGENT: Flag for immediate customer success team outreach
42,Month-to-month,40.15,Bank transfer (automatic),DSL,Yes,No,0.12,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🛠️ Support: Proactively reach out with free TechSupport session
7,Month-to-month,74.9,Electronic check,Fiber optic,No,No,0.82,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
67,Two year,25.6,Credit card (automatic),No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
1,Month-to-month,70.35,Electronic check,Fiber optic,No,No,0.4,🟢 Low Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
66,Two year,91.7,Bank transfer (automatic),DSL,Yes,Yes,0.02,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal
61,Month-to-month,89.2,Mailed check,Fiber optic,No,No,0.1,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
4,One year,24.1,Credit card (automatic),No,No internet service,No internet service,0.07,🟢 Low Risk,🚀 Onboarding: Assign dedicated support for first 90 days
42,Month-to-month,74.15,Credit card (automatic),Fiber optic,Yes,No,0.97,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session | 🔴 URGENT: Flag for immediate customer success team outreach
64,One year,53.85,Bank transfer (automatic),DSL,No,No,0.03,🟢 Low Risk,🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
54,One year,115.6,Bank transfer (automatic),Fiber optic,Yes,Yes,0.11,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal
1,Month-to-month,19.75,Credit card (automatic),No,No internet service,No internet service,0.29,🟢 Low Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan
54,Two year,24.05,Bank transfer (automatic),No,No internet service,No internet service,0.02,🟢 Low Risk,✅ No action needed
18,Two year,25.3,Credit card (automatic),No,No internet service,No internet service,0.09,🟢 Low Risk,✅ No action needed
3,Month-to-month,84.3,Electronic check,Fiber optic,No,No,0.46,🟡 Medium Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
1,Month-to-month,70.1,Electronic check,Fiber optic,No,No,0.99,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
72,Two year,89.75,Credit card (automatic),DSL,Yes,Yes,0.01,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal
60,One year,97.95,Electronic check,Fiber optic,No,No,0.39,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
11,One year,20.0,Mailed check,No,No internet service,No internet service,0.07,🟢 Low Risk,✅ No action needed
12,Month-to-month,78.3,Electronic check,Fiber optic,Yes,No,0.98,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
61,One year,103.9,Credit card (automatic),Fiber optic,No,Yes,0.04,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial
39,Two year,20.7,Credit card (automatic),No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
55,Month-to-month,96.8,Electronic check,Fiber optic,No,No,1.0,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
17,Month-to-month,94.4,Electronic check,Fiber optic,Yes,No,1.0,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
37,One year,20.15,Credit card (automatic),No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
72,Two year,26.0,Mailed check,No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
72,Two year,77.35,Credit card (automatic),DSL,No,Yes,0.05,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial
8,Month-to-month,66.05,Bank transfer (automatic),DSL,Yes,Yes,0.12,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan
22,Month-to-month,19.9,Mailed check,No,No internet service,No internet service,0.0,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan
1,Month-to-month,84.3,Electronic check,Fiber optic,No,No,1.0,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
38,Month-to-month,68.15,Credit card (automatic),DSL,No,Yes,0.2,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial
17,One year,80.85,Electronic check,DSL,No,Yes,0.15,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
70,Two year,75.5,Bank transfer (automatic),DSL,No,Yes,0.0,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial
72,Two year,92.45,Credit card (automatic),DSL,Yes,Yes,0.87,🔴 High Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔴 URGENT: Flag for immediate customer success team outreach
28,Month-to-month,80.6,Electronic check,Fiber optic,No,No,0.2,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
15,Month-to-month,83.2,Bank transfer (automatic),Fiber optic,No,No,0.21,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
72,Two year,87.55,Bank transfer (automatic),DSL,Yes,Yes,0.0,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal
11,Month-to-month,99.55,Electronic check,Fiber optic,No,No,0.99,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
8,Month-to-month,81.25,Electronic check,Fiber optic,No,No,1.0,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
57,One year,109.4,Bank transfer (automatic),Fiber optic,No,Yes,0.16,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial
1,Month-to-month,19.95,Bank transfer (automatic),No,No internet service,No internet service,0.73,🟡 Medium Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan
46,Month-to-month,45.55,Electronic check,DSL,Yes,No,0.08,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
30,One year,20.7,Credit card (automatic),No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
10,Month-to-month,75.3,Electronic check,Fiber optic,Yes,No,0.17,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
23,Month-to-month,99.25,Electronic check,Fiber optic,Yes,No,1.0,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
32,Month-to-month,93.4,Credit card (automatic),Fiber optic,Yes,No,0.12,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session
13,Month-to-month,73.75,Credit card (automatic),Fiber optic,Yes,No,0.21,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session
39,Two year,80.45,Electronic check,Fiber optic,No,Yes,0.18,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
44,Month-to-month,88.15,Credit card (automatic),Fiber optic,No,No,0.11,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
9,Month-to-month,49.2,Mailed check,DSL,No,Yes,0.12,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial
67,Two year,19.65,Mailed check,No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
9,Month-to-month,79.35,Bank transfer (automatic),Fiber optic,No,No,0.97,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 🔴 URGENT: Flag for immediate customer success team outreach
15,Month-to-month,79.75,Electronic check,Fiber optic,No,No,0.93,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
71,Two year,105.15,Bank transfer (automatic),Fiber optic,No,No,0.06,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
1,Month-to-month,49.0,Credit card (automatic),DSL,No,Yes,0.17,🟢 Low Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial
30,Month-to-month,100.05,Electronic check,Fiber optic,No,No,0.97,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
1,Month-to-month,69.35,Electronic check,Fiber optic,No,No,1.0,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
17,Month-to-month,49.8,Mailed check,DSL,No,No,0.2,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
3,Month-to-month,85.8,Electronic check,Fiber optic,No,Yes,0.67,🟡 Medium Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
67,Two year,79.7,Electronic check,DSL,Yes,No,0.89,🔴 High Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
1,Month-to-month,20.95,Bank transfer (automatic),No,No internet service,No internet service,0.08,🟢 Low Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan
1,Month-to-month,50.55,Mailed check,DSL,No,No,0.84,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 🔴 URGENT: Flag for immediate customer success team outreach
32,Month-to-month,79.3,Mailed check,Fiber optic,No,No,0.1,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
